index,humid_id10,humid_id12,humid_id21,humid_id3,humid_id8,temp_id10,temp_id12,temp_id21,temp_id3,temp_id8
0,,,,,,,,,41.0,
1,,,,,,,,,,39.6
2,,,,,,39.8,,,,
3,,,,,,,39.2,,,
4,,,,,,,,40.9,,
5,,,,28.5,,,,,,
6,,,,,30.0,,,,,
7,29.9,,,,,,,,,
8,,31.2,,,,,,,,
9,,,28.7,,,,,,,
10,,,,,,,,,41.0,
11,,,,,,,,,,39.6
12,,,,,,39.9,,,,
13,,,,,,,39.2,,,
14,,,,,,,,40.9,,
15,,,,28.1,,,,,,
16,,,,,29.6,,,,,
17,29.6,,,,,,,,,
18,,31.0,,,,,,,,
19,,,28.2,,,,,,,
20,,,,,,,,,41.0,
21,,,,,,,,,,39.6
22,,,,,,39.9,,,,
23,,,,,,,39.3,,,
24,,,,,,,,40.9,,
25,,,,28.3,,,,,,
26,,,,,29.7,,,,,
27,29.7,,,,,,,,,
28,,31.0,,,,,,,,
29,,,28.4,,,,,,,
30,,,,,,,,,41.0,
31,,,,,,,,,,39.6
32,,,,,,39.8,,,,
33,,,,,,,39.3,,,
34,,,,,,,,40.9,,
35,,,,28.6,,,,,,
36,,,,,30.1,,,,,
37,30.0,,,,,,,,,
38,,31.4,,,,,,,,
39,,,28.8,,,,,,,
40,,,,,,,,,41.0,
41,,,,,,,,,,39.6
42,,,,,,39.9,,,,
43,,,,,,,39.3,,,
44,,,,,,,,40.9,,
45,,,,28.6,,,,,,
46,,,,,30.1,,,,,
47,30.1,,,,,,,,,
48,,31.4,,,,,,,,
49,,,28.7,,,,,,,
50,,,,,,,,,40.9,
51,,,,,,,,,,39.6
52,,,,,,39.9,,,,
53,,,,,,,39.3,,,
54,,,,,,,,40.9,,
55,,,,28.6,,,,,,
56,,,,,30.0,,,,,
57,30.0,,,,,,,,,
58,,31.3,,,,,,,,
59,,,28.7,,,,,,,
60,,,,,,,,,41.0,
61,,,,,,,,,,39.6
62,,,,,,39.9,,,,
63,,,,,,,39.3,,,
64,,,,,,,,40.9,,
65,,,,28.5,,,,,,
66,,,,,29.9,,,,,
67,29.8,,,,,,,,,
68,,31.2,,,,,,,,
69,,,28.6,,,,,,,
70,,,,,,,,,40.9,
71,,,,,,,,,,39.6
72,,,,,,39.9,,,,
73,,,,,,,39.2,,,
74,,,,,,,,40.9,,
75,,,,28.4,,,,,,
76,,,,,29.8,,,,,
77,29.8,,,,,,,,,
78,,31.1,,,,,,,,
79,,,28.6,,,,,,,
80,,,,,,,,,41.0,
81,,,,,,,,,,39.7
82,,,,,,39.9,,,,
83,,,,,,,39.2,,,
84,,,,,,,,40.9,,
85,,,,28.5,,,,,,
86,,,,,29.8,,,,,
87,29.9,,,,,,,,,
88,,31.2,,,,,,,,
89,,,28.6,,,,,,,
90,,,,,,,,,40.9,
91,,,,,,,,,,39.6
92,,,,,,39.8,,,,
93,,,,,,,39.2,,,
94,,,,,,,,40.9,,
95,,,,28.4,,,,,,
96,,,,,29.8,,,,,
97,29.9,,,,,,,,,
98,,31.2,,,,,,,,
99,,,28.5,,,,,,,
100,,,,,,,,,41.0,
101,,,,,,,,,,39.6
102,,,,,,39.8,,,,
103,,,,,,,39.3,,,
104,,,,,,,,40.9,,
105,,,,28.4,,,,,,
106,,,,,29.8,,,,,
107,29.8,,,,,,,,,
108,,31.2,,,,,,,,
109,,,28.4,,,,,,,
110,,,,,,,,,40.9,
111,,,,,,,,,,39.6
112,,,,,,39.8,,,,
113,,,,,,,39.2,,,
114,,,,,,,,40.9,,
115,,,,28.3,,,,,,
116,,,,,29.7,,,,,
117,29.8,,,,,,,,,
118,,31.1,,,,,,,,
119,,,28.5,,,,,,,
120,,,,,,,,,40.9,
121,,,,,,,,,,39.6
122,,,,,,39.8,,,,
123,,,,,,,39.2,,,
124,,,,,,,,41.0,,
125,,,,28.6,,,,,,
126,,,,,29.9,,,,,
127,30.0,,,,,,,,,
128,,31.4,,,,,,,,
129,,,28.6,,,,,,,
130,,,,,,,,,40.9,
131,,,,,,,,,,39.6
132,,,,,,39.8,,,,
133,,,,,,,39.3,,,
134,,,,,,,,40.9,,
135,,,,28.5,,,,,,
136,,,,,29.9,,,,,
137,29.9,,,,,,,,,
138,,31.2,,,,,,,,
139,,,28.6,,,,,,,
140,,,,,,,,,40.9,
141,,,,,,,,,,39.6
142,,,,,,39.8,,,,
143,,,,,,,39.3,,,
144,,,,,,,,40.9,,
145,,,,28.6,,,,,,
146,,,,,30.1,,,,,
147,30.1,,,,,,,,,
148,,31.4,,,,,,,,
149,,,28.8,,,,,,,
150,,,,,,,,,41.0,
151,,,,,,,,,,39.6
152,,,,,,39.8,,,,
153,,,,,,,39.3,,,
154,,,,,,,,40.9,,
155,,,,28.6,,,,,,
156,,,,,30.0,,,,,
157,30.1,,,,,,,,,
158,,31.4,,,,,,,,
159,,,28.7,,,,,,,
160,,,,,,,,,41.0,
161,,,,,,,,,,39.6
162,,,,,,39.8,,,,
163,,,,,,,39.3,,,
164,,,,,,,,40.9,,
165,,,,28.5,,,,,,
166,,,,,29.9,,,,,
167,30.0,,,,,,,,,
168,,31.3,,,,,,,,
169,,,28.6,,,,,,,
170,,,,,,,,,41.0,
171,,,,,,,,,,39.6
172,,,,,,39.8,,,,
173,,,,,,,39.2,,,
174,,,,,,,,40.9,,
175,,,,28.5,,,,,,
176,,,,,30.0,,,,,
177,30.0,,,,,,,,,
178,,31.3,,,,,,,,
179,,,28.6,,,,,,,
180,,,,,,,,,41.0,
181,,,,,,,,,,39.6
182,,,,,,39.8,,,,
183,,,,,,,39.2,,,
184,,,,,,,,40.9,,
185,,,,28.6,,,,,,
186,,,,,29.9,,,,,
187,30.0,,,,,,,,,
188,,31.3,,,,,,,,
189,,,28.7,,,,,,,
190,,,,,,,,,41.0,
191,,,,,,,,,,39.5
192,,,,,,39.8,,,,
193,,,,,,,39.3,,,
194,,,,,,,,40.9,,
195,,,,28.4,,,,,,
196,,,,,29.9,,,,,
197,29.8,,,,,,,,,
